run_id,epoch,trial_index_in_epoch,timestamp_iso,benchmark,runtime,input_size,input_path,wall_clock_s,exit_code,energy_pkg_uj_total,energy_core_uj_total,avg_power_pkg_w,avg_power_core_w,user_cpu_s,sys_cpu_s,max_rss_kb,num_rapl_samples,governor,cpu_freq_pre_mhz,cpu_freq_post_mhz,cpu_temp_pre_c,cpu_temp_post_c,notes
idle-intertrial-01-008-180c56,1,8,2026-05-03T22:31:20-0400,idle_intertrial,idle,,,5.000242,0,50375950,210408,10.0749,0.0421,0,0,0,51,schedutil,,,,,idle baseline
e01-t008-nfa-regex-bash-100M-3e3dd4,1,8,2026-05-03T22:34:56-0400,nfa-regex,bash,100M,/home/aaronzp/dev/pash-exp/scripts/inputs/100M.txt,216.739936,0,5894316103,25152584,27.2003,0.1161,216.61,0.52,3412,2168,schedutil,1550.0,1374.9,,,
idle-intertrial-01-009-0bddfe,1,9,2026-05-03T22:35:01-0400,idle_intertrial,idle,,,5.000313,0,47263180,172553,9.6445,0.0352,0,0,0,50,schedutil,,,,,idle baseline
e01-t009-nfa-regex-pash_cold-10M-2a8e35,1,9,2026-05-03T22:35:14-0400,nfa-regex,pash_cold,10M,/home/aaronzp/dev/pash-exp/scripts/inputs/10M.txt,12.270165,0,410452452,43627535,33.6433,3.5760,22.87,0.48,22984,123,schedutil,1377.2,1374.7,,,
idle-intertrial-01-010-0305a1,1,10,2026-05-03T22:35:19-0400,idle_intertrial,idle,,,5.000297,0,48739286,83645,9.7475,0.0167,0,0,0,51,schedutil,,,,,idle baseline
e01-t010-wf-bash-10M-25d720,1,10,2026-05-03T22:35:22-0400,wf,bash,10M,/home/aaronzp/dev/pash-exp/scripts/inputs/10M.txt,3.015343,0,89134825,395915,29.7104,0.1320,3.29,0.09,10424,31,schedutil,1375.5,1374.9,,,
idle-intertrial-01-011-e70855,1,11,2026-05-03T22:35:27-0400,idle_intertrial,idle,,,5.000217,0,47166872,79525,9.4331,0.0159,0,0,0,51,schedutil,,,,,idle baseline
e01-t011-nfa-regex-bash-1M-bad1bb,1,11,2026-05-03T22:35:29-0400,nfa-regex,bash,1M,/home/aaronzp/dev/pash-exp/scripts/inputs/1M.txt,2.189962,0,47296062,151008,22.5208,0.0719,2.17,0.01,3500,22,schedutil,1376.8,1550.0,,,
idle-intertrial-01-012-e62b7d,1,12,2026-05-03T22:35:34-0400,idle_intertrial,idle,,,5.000369,0,46122005,72369,9.4117,0.0148,0,0,0,50,schedutil,,,,,idle baseline
e01-t012-sort-sort-pash_cold-1M-74e8ef,1,12,2026-05-03T22:35:35-0400,sort-sort,pash_cold,1M,/home/aaronzp/dev/pash-exp/scripts/inputs/1M.txt,0.775356,0,16683952,740684,23.8301,1.0579,0.61,0.33,23536,8,schedutil,1375.4,1636.7,,,
idle-intertrial-01-013-53b4ac,1,13,2026-05-03T22:35:40-0400,idle_intertrial,idle,,,5.000582,0,52837843,76702,10.5665,0.0153,0,0,0,51,schedutil,,,,,idle baseline
e01-t013-spell-bash-1M-f4e260,1,13,2026-05-03T22:35:40-0400,spell,bash,1M,/home/aaronzp/dev/pash-exp/scripts/inputs/1M.txt,0.563589,0,13228564,384364,26.4523,0.7686,0.62,0.08,10532,6,schedutil,1376.8,1550.0,,,
idle-intertrial-01-014-79c03a,1,14,2026-05-03T22:35:45-0400,idle_intertrial,idle,,,5.000369,0,57092812,110102,11.6504,0.0225,0,0,0,50,schedutil,,,,,idle baseline
e01-t014-spell-pash_cold-1M-e013c2,1,14,2026-05-03T22:35:47-0400,spell,pash_cold,1M,/home/aaronzp/dev/pash-exp/scripts/inputs/1M.txt,1.242538,0,29651650,2034197,24.7072,1.6950,1.21,0.45,23972,13,schedutil,1375.3,1543.0,,,
idle-intertrial-01-015-485999,1,15,2026-05-03T22:35:52-0400,idle_intertrial,idle,,,5.000357,0,47687933,114938,9.7312,0.0235,0,0,0,50,schedutil,,,,,idle baseline
e01-t015-wf-bash-100M-d030f5,1,15,2026-05-03T22:36:23-0400,wf,bash,100M,/home/aaronzp/dev/pash-exp/scripts/inputs/100M.txt,30.957252,0,869569135,8876937,28.1413,0.2873,33.41,0.96,10532,310,schedutil,1376.9,1550.0,,,
idle-intertrial-01-016-3fe6c2,1,16,2026-05-03T22:36:28-0400,idle_intertrial,idle,,,5.000175,0,50286020,88801,10.0569,0.0178,0,0,0,51,schedutil,,,,,idle baseline
e01-t016-sort-sort-pash_cold-10M-f7de91,1,16,2026-05-03T22:36:29-0400,sort-sort,pash_cold,10M,/home/aaronzp/dev/pash-exp/scripts/inputs/10M.txt,1.425545,0,38553853,2468592,27.5355,1.7631,1.58,0.63,23632,15,schedutil,1546.9,1550.0,,,
idle-intertrial-01-017-f2f1be,1,17,2026-05-03T22:36:34-0400,idle_intertrial,idle,,,5.000603,0,47856809,91380,9.5704,0.0183,0,0,0,51,schedutil,,,,,idle baseline
e01-t017-wf-pash_cold-10M-8c4e1b,1,17,2026-05-03T22:36:36-0400,wf,pash_cold,10M,/home/aaronzp/dev/pash-exp/scripts/inputs/10M.txt,2.097095,0,65548078,1706195,32.7720,0.8530,3.83,0.7,23772,21,schedutil,1550.0,1550.0,,,
idle-intertrial-01-018-a39460,1,18,2026-05-03T22:36:41-0400,idle_intertrial,idle,,,5.000069,0,62683434,27953,12.5365,0.0056,0,0,0,51,schedutil,,,,,idle baseline
e01-t018-sort-sort-bash-10M-ffaf65,1,18,2026-05-03T22:36:42-0400,sort-sort,bash,10M,/home/aaronzp/dev/pash-exp/scripts/inputs/10M.txt,0.898206,0,23458382,83202,29.3129,0.1040,0.84,0.08,14584,9,schedutil,1550.0,1550.0,,,
idle-intertrial-01-019-d36991,1,19,2026-05-03T22:36:47-0400,idle_intertrial,idle,,,5.000373,0,53933323,45622,10.7859,0.0091,0,0,0,51,schedutil,,,,,idle baseline
e01-t019-spell-bash-10M-f192c0,1,19,2026-05-03T22:36:50-0400,spell,bash,10M,/home/aaronzp/dev/pash-exp/scripts/inputs/10M.txt,2.724272,0,84955399,2207131,31.4638,0.8174,3.33,0.87,10484,28,schedutil,1550.0,1426.2,,,
idle-intertrial-01-020-4a7e88,1,20,2026-05-03T22:36:55-0400,idle_intertrial,idle,,,5.000371,0,46803854,118097,9.5515,0.0241,0,0,0,50,schedutil,,,,,idle baseline
e01-t020-spell-bash-100M-07fd6d,1,20,2026-05-03T22:37:22-0400,spell,bash,100M,/home/aaronzp/dev/pash-exp/scripts/inputs/100M.txt,27.365492,0,795619301,76114854,29.1435,2.7881,31.59,10.68,10524,274,schedutil,1375.8,3917.5,,,
idle-intertrial-01-021-332d16,1,21,2026-05-03T22:37:27-0400,idle_intertrial,idle,,,5.000353,0,49240083,130471,10.0480,0.0266,0,0,0,50,schedutil,,,,,idle baseline
e01-t021-wf-bash-1M-606d50,1,21,2026-05-03T22:37:28-0400,wf,bash,1M,/home/aaronzp/dev/pash-exp/scripts/inputs/1M.txt,0.360573,0,7878712,28212,26.2528,0.0940,0.37,0.03,10480,4,schedutil,1470.0,1315.6,,,
idle-intertrial-01-022-524ef3,1,22,2026-05-03T22:37:33-0400,idle_intertrial,idle,,,5.000324,0,55851970,67501,11.3972,0.0138,0,0,0,50,schedutil,,,,,idle baseline
e01-t022-wf-pash_cold-1M-5cd8d0,1,22,2026-05-03T22:37:34-0400,wf,pash_cold,1M,/home/aaronzp/dev/pash-exp/scripts/inputs/1M.txt,0.994333,0,23632796,774969,26.2554,0.8610,0.97,0.37,23776,10,schedutil,1377.0,1550.0,,,
idle-intertrial-01-023-85c017,1,23,2026-05-03T22:37:39-0400,idle_intertrial,idle,,,5.000337,0,55827756,126900,11.1653,0.0254,0,0,0,51,schedutil,,,,,idle baseline
e01-t023-sort-sort-bash-100M-3ba22e,1,23,2026-05-03T22:37:48-0400,sort-sort,bash,100M,/home/aaronzp/dev/pash-exp/scripts/inputs/100M.txt,8.953778,0,213129618,49828111,23.9464,5.5985,7.93,1.3,14576,90,schedutil,1546.9,1550.0,,,
