benchmark,input,input_size_bytes,mode,engine,width,cpus,trial,elapsed_sec,exit_status
wf,1G.txt,1073742848,pash_1core_2smt_threads,pash,2,"0,24",5,410.595974,0
wf,1G.txt,1073742848,pash_2cores_1thread_each,pash,2,"0,1",5,223.587707,0
bi-grams,1M.txt,1048577,bash_1core_1thread,bash,1,"0",1,0.680259,0
bi-grams,1M.txt,1048577,pash_1core_1thread,pash,1,"0",1,2.929220,0
bi-grams,1M.txt,1048577,pash_1core_2smt_threads,pash,2,"0,24",1,4.213187,0
bi-grams,1M.txt,1048577,pash_2cores_1thread_each,pash,2,"0,1",1,2.601492,0
bi-grams,10M.txt,10485770,bash_1core_1thread,bash,1,"0",1,5.443822,0
bi-grams,10M.txt,10485770,pash_1core_1thread,pash,1,"0",1,8.033902,0
bi-grams,10M.txt,10485770,pash_1core_2smt_threads,pash,2,"0,24",1,7.608378,0
bi-grams,10M.txt,10485770,pash_2cores_1thread_each,pash,2,"0,1",1,6.969869,0
bi-grams,100M.txt,104857700,bash_1core_1thread,bash,1,"0",1,53.331435,0
bi-grams,100M.txt,104857700,pash_1core_1thread,pash,1,"0",1,55.900340,0
bi-grams,100M.txt,104857700,pash_1core_2smt_threads,pash,2,"0,24",1,56.727240,0
bi-grams,100M.txt,104857700,pash_2cores_1thread_each,pash,2,"0,1",1,47.624990,0
bi-grams,1G.txt,1073742848,bash_1core_1thread,bash,1,"0",1,559.447704,0
bi-grams,1G.txt,1073742848,pash_1core_1thread,pash,1,"0",1,560.539750,0
bi-grams,1G.txt,1073742848,pash_1core_2smt_threads,pash,2,"0,24",1,559.990524,0
bi-grams,1G.txt,1073742848,pash_2cores_1thread_each,pash,2,"0,1",1,470.152302,0
diff,1M.txt,1048577,bash_1core_1thread,bash,1,"0",1,0.230200,0
diff,1M.txt,1048577,pash_1core_1thread,pash,1,"0",1,2.886383,0
diff,1M.txt,1048577,pash_1core_2smt_threads,pash,2,"0,24",1,2.243628,0
diff,1M.txt,1048577,pash_2cores_1thread_each,pash,2,"0,1",1,2.221628,0
diff,10M.txt,10485770,bash_1core_1thread,bash,1,"0",1,1.760817,0
diff,10M.txt,10485770,pash_1core_1thread,pash,1,"0",1,4.261620,0
diff,10M.txt,10485770,pash_1core_2smt_threads,pash,2,"0,24",1,3.604315,0
diff,10M.txt,10485770,pash_2cores_1thread_each,pash,2,"0,1",1,3.236414,0
diff,100M.txt,104857700,bash_1core_1thread,bash,1,"0",1,17.809155,0
diff,100M.txt,104857700,pash_1core_1thread,pash,1,"0",1,20.279638,0
diff,100M.txt,104857700,pash_1core_2smt_threads,pash,2,"0,24",1,17.023116,0
diff,100M.txt,104857700,pash_2cores_1thread_each,pash,2,"0,1",1,13.326646,0
diff,1G.txt,1073742848,bash_1core_1thread,bash,1,"0",1,189.287438,0
diff,1G.txt,1073742848,pash_1core_1thread,pash,1,"0",1,191.983521,0
diff,1G.txt,1073742848,pash_1core_2smt_threads,pash,2,"0,24",1,156.847381,0
diff,1G.txt,1073742848,pash_2cores_1thread_each,pash,2,"0,1",1,115.792978,0
nfa-regex,1M.txt,1048577,bash_1core_1thread,bash,1,"0",1,3.019165,0
nfa-regex,1M.txt,1048577,pash_1core_1thread,pash,1,"0",1,5.328201,0
nfa-regex,1M.txt,1048577,pash_1core_2smt_threads,pash,2,"0,24",1,4.618964,0
nfa-regex,1M.txt,1048577,pash_2cores_1thread_each,pash,2,"0,1",1,3.532656,0
nfa-regex,10M.txt,10485770,bash_1core_1thread,bash,1,"0",1,29.027861,0
nfa-regex,10M.txt,10485770,pash_1core_1thread,pash,1,"0",1,31.204887,0
nfa-regex,10M.txt,10485770,pash_1core_2smt_threads,pash,2,"0,24",1,28.737298,0
nfa-regex,10M.txt,10485770,pash_2cores_1thread_each,pash,2,"0,1",1,17.856522,0
nfa-regex,100M.txt,104857700,bash_1core_1thread,bash,1,"0",1,297.593863,0
nfa-regex,100M.txt,104857700,pash_1core_1thread,pash,1,"0",1,293.054306,0
nfa-regex,100M.txt,104857700,pash_1core_2smt_threads,pash,2,"0,24",1,267.107620,0
nfa-regex,100M.txt,104857700,pash_2cores_1thread_each,pash,2,"0,1",1,155.855785,0
